candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,#_of_records,total_$
"PETERS SR, GARY CHARLES",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,INCUMBENT,"187,020","$52,093,272"
"JAMES, JOHN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,CHALLENGER,"79,999","$50,173,468"
"CARR, BOB",DISQUALIFIED-PRIMARY,DISQUALIFIED,REPUBLICAN,REPUBLICAN,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,OPEN,5,"$1,635"
"WILLIS, VALERIE L",LOST-GENERAL,LOST,US TAXPAYER,THIRD-PARTY,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,CHALLENGER,0,$0
"SQUIER, MARCIA",LOST-GENERAL,LOST,GREEN,THIRD-PARTY,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,CHALLENGER,0,$0
"DERN, DOUG",LOST-GENERAL,LOST,NATURAL LAW,THIRD-PARTY,MI,2020,STANDARD,US SENATE DISTRICT MI SW-CLASS II,CHALLENGER,0,$0
