candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,#_of_records,total_$
"OROURKE, ROBERT (BETO)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,"272,521","$78,004,644"
"CRUZ, RAFAEL EDWARD (TED)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,INCUMBENT,"132,859","$42,878,695"
"JACOBSON JR, BRUCE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,110,"$135,315"
"DE STEFANO, STEFANO",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,146,"$83,789"
"DIKEMAN, NEAL M",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,67,"$33,504"
"SAM, GERALDINE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,1,"$10,000"
"MILLER, MARY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,CHALLENGER,5,"$9,938"
"KIMBROUGH, EDWARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,OPEN,3,"$1,169"
"HERNANDEZ, IRA SEMA RAMIREZ",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,TX,2018,STANDARD,US SENATE DISTRICT TX SW-CLASS I,OPEN,0,$0
