candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,#_of_records,total_$
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,"20,648","$83,743,095"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,"95,818","$30,528,461"
"DE LA FUENTE, ROQUE MAMAKA (ROCKY)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,OPEN,2,"$45,000"
"JONES, LATERESA (LA)",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,3,$200
"KNEPPER, HOWARD",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,0,$0
"LEVINSON, MICHAEL STEPHEN",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,0,$0
"TOLBERT, CHARLES FREDERICK",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,0,$0
"WEEKS, DAVID",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,0,$0
