candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"PERDUE, DAVID A",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,STANDARD,US SENATE DISTRICT GA SW-CLASS II,INCUMBENT,"LABOR, ANTI-UNION",ANTI-LABOR GROUPS,IDEOLOGY/SINGLE ISSUE,1,"$1,000"
"PERDUE, DAVID A",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,STANDARD,US SENATE DISTRICT GA SW-CLASS II,INCUMBENT,HEALTH & WELFARE POLICY,HEALTH & WELFARE POLICY,IDEOLOGY/SINGLE ISSUE,1,"$1,000"
"PERDUE, DAVID A",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,STANDARD,US SENATE DISTRICT GA SW-CLASS II,INCUMBENT,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC.",NONPROFIT INSTITUTIONS,GOVERNMENT AGENCIES/EDUCATION/OTHER,1,"$1,000"
"LOEFFLER, KELLY L",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,INCUMBENT,OTHER COMMUNICATIONS SERVICES,TELECOM SERVICES & EQUIPMENT,COMMUNICATIONS & ELECTRONICS,1,"$1,000"
"LOEFFLER, KELLY L",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,INCUMBENT,CONSUMER ELECTRONICS & COMPUTER STORES,RETAIL SALES,GENERAL BUSINESS,1,"$1,000"
"LOEFFLER, KELLY L",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,INCUMBENT,VENDING MACHINE SALES & SERVICES,RETAIL SALES,GENERAL BUSINESS,1,"$1,000"
"LOEFFLER, KELLY L",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,INCUMBENT,"LABOR, ANTI-UNION",ANTI-LABOR GROUPS,IDEOLOGY/SINGLE ISSUE,1,"$1,000"
"LOEFFLER, KELLY L",LOST-GENERAL RUNOFF,LOST,REPUBLICAN,REPUBLICAN,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,INCUMBENT,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC.",NONPROFIT INSTITUTIONS,GOVERNMENT AGENCIES/EDUCATION/OTHER,2,"$1,000"
"WARNOCK, RAPHAEL G",WON-GENERAL RUNOFF,WON,DEMOCRATIC,DEMOCRATIC,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,CHALLENGER,ENGINEERS - TYPE UNKNOWN,CONSTRUCTION SERVICES,CONSTRUCTION,1,"$1,000"
"WARNOCK, RAPHAEL G",WON-GENERAL RUNOFF,WON,DEMOCRATIC,DEMOCRATIC,GA,2020,SPECIAL,US SENATE DISTRICT GA SW-CLASS III,CHALLENGER,INDIAN GAMING,GAMBLING & CASINOS,GENERAL BUSINESS,1,"$1,000"
